Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1996-09-16,08:54:00,Space Shuttle Atlantis,STS-79,Retired,450.0,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1996-10-20,07:20:00,Long March 2D,FSW-2 No.3,Active,29.75,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-11-04,17:08:00,Pegasus XL,HETE & SAC-B,Active,40.0,Failure
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-12-07,11:49:00,Space Shuttle Columbia,STS-80,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1997-01-12,09:27:00,Space Shuttle Atlantis,STS-81,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-02-11,08:55:00,Space Shuttle Discovery,STS-82,Retired,450.0,Success
Lockheed,"SLC-4W, Vandenberg AFB, California, USA",1997-04-04,16:47:00,Titan II(23)G,USA-131,Retired,35.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-04-04,19:20:00,Space Shuttle Columbia,STS-83,Retired,450.0,Success
Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-04-21,11:59:00,Pegasus XL,MiniSat & Celestis space burial,Active,40.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1997-05-11,16:17:00,Long March 3A,ChinaSat 6,Active,69.7,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-05-15,08:07:00,Space Shuttle Atlantis,STS-84,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-07-01,18:02:00,Space Shuttle Columbia,STS-94,Retired,450.0,Success
Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-08-01,20:20:00,Pegasus XL,OrbView-2,Active,40.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-08-07,14:41:00,Space Shuttle Discovery,STS-85,Retired,450.0,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1997-08-29,15:02:00,Pegasus XL,FORTE,Active,40.0,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China",1997-09-01,14:00:00,Long March 2C,Iridium mass simulator A&B,Active,30.8,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-09-25,14:34:00,Space Shuttle Atlantis,STS-86,Retired,450.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1997-09-29,10:20:00,PSLV-G,IRS-1D,Retired,25.0,Partial Failure
Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1997-10-22,13:13:00,Pegasus XL,STEP-4,Active,40.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1997-11-19,19:46:00,Space Shuttle Columbia,STS-87,Retired,450.0,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China",1997-12-08,07:16:00,Long March 2C,Iridium 42 & 44,Active,30.8,Success
Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1997-12-23,19:11:00,Pegasus XL/HAPS,Orbcomm A1-A8,Active,40.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-01-22,02:48:00,Space Shuttle Endeavour,STS-89,Retired,450.0,Success
Northrop,"SLC-576E, Vandenberg AFB, California, USA",1998-02-10,13:20:00,Minotaur C (Taurus),GFO & Orbcomm 11 and 12,Active,45.0,Success
Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-02-26,07:07:00,Pegasus XL,SNOE & BATSAT,Active,40.0,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China",1998-03-25,17:01:00,Long March 2C,Iridium 51 & 61,Active,30.8,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1998-04-02,16:24:00,Pegasus XL,TRACE,Active,40.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1998-04-17,18:19:00,Space Shuttle Columbia,STS-90,Retired,450.0,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China",1998-05-02,09:16:00,Long March 2C,Iridium 69 & 71,Active,30.8,Success
Lockheed,"SLC-4W, Vandenberg AFB, California, USA",1998-05-13,15:52:00,Titan II(23)G,NOAA-15,Retired,35.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-06-02,22:06:00,Space Shuttle Discovery,STS-91,Retired,450.0,Success
